TIEMPO,ADC,DAC
0.0,1.238,1.441
0.001,1.403,1.816
0.002,1.732,1.451
0.003,1.503,1.78
0.004,1.725,1.896
0.005,1.858,1.358
0.006,1.445,1.229
0.007,1.27,1.864
0.008,1.748,1.6
0.009,1.629,1.945
0.01,1.877,1.306
0.011,1.406,1.296
0.012,1.316,1.706
0.013,1.635,2.074
0.014,1.99,2.051
0.015,2.032,1.519
0.016,1.612,1.78
0.017,1.745,1.606
0.018,1.625,1.267
0.019,1.335,1.903
0.02,1.79,1.48
0.021,1.535,1.68
0.022,1.645,1.206
0.023,1.29,1.835
0.024,1.732,1.948
0.025,1.906,2.096
0.026,2.051,1.267
0.027,1.416,1.803
0.028,1.719,1.254
0.029,1.345,1.829
0.03,1.738,2.048
0.031,1.987,2.093
0.032,2.067,1.812
0.033,1.861,2.061
0.034,2.019,1.79
0.035,1.832,2.016
0.036,1.974,1.683
0.037,1.732,1.438
0.038,1.487,1.158
0.039,1.222,1.974
0.04,1.832,2.048
0.041,2.003,1.78
0.042,1.812,1.429
0.043,1.503,2.083
0.044,1.97,1.806
0.045,1.829,1.28
0.046,1.387,2.141
0.047,2.0,1.974
0.048,1.97,1.506
0.049,1.583,1.167
0.05,1.241,1.235
0.051,1.232,1.206
0.052,1.216,2.148
0.053,1.964,1.345
0.054,1.464,2.054
0.055,1.935,1.367
0.056,1.47,1.648
0.057,1.609,1.535
0.058,1.551,2.035
0.059,1.938,1.606
0.06,1.661,1.509
0.061,1.538,1.922
0.062,1.851,2.041
0.063,1.996,1.174
0.064,1.325,1.716
0.065,1.635,1.351
0.066,1.399,1.206
0.067,1.238,1.235
0.068,1.232,1.38
0.069,1.351,1.464
0.07,1.445,2.0
0.071,1.893,1.674
0.072,1.712,2.016
0.073,1.958,2.087
0.074,2.051,1.435
0.075,1.548,1.645
0.076,1.625,1.935
0.077,1.88,2.148
0.078,2.093,1.754
0.079,1.816,1.983
0.08,1.941,1.164
0.081,1.309,1.587
0.082,1.532,1.59
0.083,1.57,1.29
0.084,1.348,2.122
0.085,1.967,1.151
0.086,1.306,1.748
0.087,1.658,1.409
0.088,1.451,1.322
0.089,1.341,1.241
0.09,1.264,2.08
0.091,1.925,2.016
0.092,1.987,1.174
0.093,1.322,1.503
0.094,1.467,1.883
0.095,1.803,1.683
0.096,1.706,1.987
0.097,1.925,1.429
0.098,1.519,1.719
0.099,1.677,1.577
0.1,1.593,1.803
0.101,1.761,1.822
0.102,1.799,1.154
0.103,1.277,2.045
0.104,1.9,2.08
0.105,2.041,1.6
0.106,1.68,1.864
0.107,1.825,1.822
0.108,1.825,2.003
0.109,1.964,1.819
0.11,1.841,1.606
0.111,1.645,1.358
0.112,1.416,2.119
0.113,1.983,1.751
0.114,1.79,1.703
0.115,1.709,1.212
0.116,1.306,1.706
0.117,1.632,1.9
0.118,1.845,1.625
0.119,1.667,2.041
0.12,1.967,1.764
0.121,1.803,1.89
0.122,1.864,1.306
0.123,1.406,1.435
0.124,1.432,2.112
0.125,1.974,1.306
0.126,1.435,2.064
0.127,1.941,1.932
0.128,1.932,1.861
0.129,1.864,1.245
0.13,1.354,1.316
0.131,1.325,1.89
0.132,1.783,1.906
0.133,1.874,1.193
0.134,1.316,1.303
0.135,1.306,1.716
0.136,1.632,1.377
0.137,1.419,1.296
0.138,1.319,1.758
0.139,1.674,1.819
0.14,1.787,1.612
0.141,1.635,1.206
0.142,1.287,1.89
0.143,1.777,1.9
0.144,1.877,2.074
0.145,2.035,1.9
0.146,1.912,1.235
0.147,1.358,1.338
0.148,1.345,2.08
0.149,1.935,1.432
0.15,1.525,1.958
0.151,1.864,1.17
0.152,1.296,1.425
0.153,1.396,1.312
0.154,1.325,1.358
0.155,1.354,2.029
0.156,1.896,1.577
0.157,1.638,1.938
0.158,1.88,2.045
0.159,2.012,2.041
0.16,2.029,1.551
0.161,1.635,1.396
0.162,1.445,2.074
0.163,1.951,1.616
0.164,1.67,1.309
0.165,1.37,1.358
0.166,1.361,1.98
0.167,1.864,2.058
0.168,2.019,1.964
0.169,1.974,2.009
0.17,1.993,1.29
0.171,1.419,1.496
0.172,1.474,1.216
0.173,1.261,1.27
0.174,1.267,1.467
0.175,1.425,1.277
0.176,1.299,1.248
0.177,1.261,1.929
0.178,1.806,2.122
0.179,2.051,1.264
0.18,1.409,1.7
0.181,1.635,1.27
0.182,1.338,1.68
0.183,1.609,1.264
0.184,1.329,1.616
0.185,1.564,2.112
0.186,2.0,1.364
0.187,1.483,1.993
0.188,1.896,2.135
0.189,2.083,1.677
0.19,1.748,1.564
0.191,1.596,1.587
0.192,1.58,1.251
0.193,1.312,1.703
0.194,1.632,2.087
0.195,1.996,1.651
0.196,1.709,1.287
0.197,1.367,1.845
0.198,1.751,1.812
0.199,1.799,1.932
0.2,1.9,1.535
0.201,1.596,1.335
0.202,1.387,1.987
0.203,1.87,1.87
0.204,1.864,1.529
0.205,1.583,1.174
0.206,1.251,1.645
0.207,1.57,1.954
0.208,1.874,1.396
0.209,1.48,1.241
0.21,1.287,1.916
0.211,1.79,1.254
0.212,1.348,1.258
0.213,1.277,2.012
0.214,1.864,1.206
0.215,1.325,1.2
0.216,1.225,1.987
0.217,1.832,1.174
0.218,1.299,1.838
0.219,1.732,1.661
0.22,1.674,1.758
0.221,1.732,1.367
0.222,1.432,1.358
0.223,1.367,1.438
0.224,1.419,1.293
0.225,1.312,1.196
0.226,1.216,1.551
0.227,1.48,1.174
0.228,1.229,1.445
0.229,1.409,2.07
0.23,1.938,1.532
0.231,1.603,1.422
0.232,1.458,1.929
0.233,1.838,1.896
0.234,1.883,1.961
0.235,1.938,1.432
0.236,1.519,1.238
0.237,1.287,1.432
0.238,1.406,1.867
0.239,1.777,1.535
0.24,1.58,1.803
0.241,1.751,1.309
0.242,1.387,1.312
0.243,1.322,1.493
0.244,1.464,2.006
0.245,1.896,1.222
0.246,1.354,2.016
0.247,1.883,1.48
0.248,1.554,1.78
0.249,1.732,1.693
0.25,1.696,1.616
0.251,1.622,1.216
0.252,1.29,1.68
0.253,1.609,2.096
0.254,1.996,1.48
0.255,1.57,1.309
0.256,1.364,2.135
0.257,1.977,1.238
0.258,1.377,1.551
0.259,1.516,1.616
0.26,1.596,1.929
0.261,1.861,1.6
0.262,1.641,1.345
0.263,1.399,1.687
0.264,1.632,1.751
0.265,1.725,1.638
0.266,1.651,1.632
0.267,1.632,1.841
0.268,1.799,1.751
0.269,1.754,1.561
0.27,1.596,1.696
0.271,1.67,1.306
0.272,1.37,1.232
0.273,1.258,1.703
0.274,1.612,1.267
0.275,1.329,1.351
0.276,1.348,1.874
0.277,1.767,1.416
0.278,1.487,2.09
0.279,1.964,1.158
0.28,1.309,1.896
0.281,1.787,2.041
0.282,1.983,1.219
0.283,1.364,1.838
0.284,1.741,1.487
0.285,1.529,1.464
0.286,1.48,2.122
0.287,1.996,1.783
0.288,1.812,1.183
0.289,1.296,1.38
0.29,1.367,1.906
0.291,1.796,1.232
0.292,1.335,1.635
0.293,1.57,1.235
0.294,1.293,1.164
0.295,1.183,1.177
0.296,1.177,1.38
0.297,1.338,1.506
0.298,1.47,1.387
0.299,1.406,2.032
0.3,1.909,1.68
0.301,1.716,1.225
0.302,1.309,1.229
0.303,1.241,1.583
0.304,1.519,1.764
0.305,1.709,1.235
0.306,1.319,1.419
0.307,1.403,2.08
0.308,1.948,1.741
0.309,1.77,1.193
0.31,1.296,1.229
0.311,1.238,1.345
0.312,1.322,1.358
0.313,1.351,1.677
0.314,1.609,1.409
0.315,1.445,1.67
0.316,1.629,2.016
0.317,1.941,1.954
0.318,1.951,2.048
0.319,2.019,1.354
0.32,1.48,1.922
0.321,1.832,1.503
0.322,1.558,1.261
0.323,1.312,1.329
0.324,1.319,1.222
0.325,1.245,2.109
0.326,1.945,1.861
0.327,1.867,1.39
0.328,1.474,1.37
0.329,1.393,2.006
0.33,1.88,1.354
0.331,1.448,1.37
0.332,1.383,1.722
