TIEMPO,ADC,DAC
0.001,0.024,0.000
0.002,0.023,0.000
0.003,0.019,0.000
0.004,0.018,0.000
0.005,0.014,0.000
0.006,0.013,0.000
0.007,0.010,0.000
0.008,0.010,0.000
0.009,0.007,0.000
0.01,0.006,0.000
0.011,0.005,0.000
0.012,0.005,0.000
0.013,0.003,0.000
0.014,0.003,0.000
0.015,0.002,0.000
0.016,0.002,0.000
0.017,0.002,0.000
0.018,0.002,0.000
0.019,0.001,0.000
0.02,0.001,0.000
0.021,0.001,0.000
0.022,0.000,0.000
0.023,0.000,0.000
0.024,0.000,0.000
0.025,0.000,0.000
0.026,0.000,0.000
0.027,0.000,0.000
0.028,0.000,0.000
0.029,0.000,0.000
0.03,0.000,0.000
0.031,0.000,0.000
0.032,0.000,0.000
0.033,0.000,0.000
0.034,0.000,0.000
0.035,0.000,0.000
0.036,0.000,0.000
0.037,0.000,0.000
0.038,0.000,0.000
0.039,0.000,0.000
0.04,0.000,0.000
0.041,0.000,0.000
0.042,0.000,0.000
0.043,0.000,0.000
0.044,0.000,0.000
0.045,0.000,0.000
0.046,0.000,0.000
0.047,0.000,0.000
0.048,0.000,0.000
0.049,0.000,0.000
0.05,0.000,0.000
0.051,0.000,0.000
0.052,0.000,0.000
0.053,0.000,0.000
0.054,0.000,0.000
0.055,0.000,0.000
0.056,0.000,0.000
0.057,0.000,0.000
0.058,0.000,0.000
0.059,0.000,0.000
0.06,0.000,0.000
0.061,0.000,0.000
0.062,0.000,0.000
0.063,0.000,0.000
0.064,0.000,0.000
0.065,0.000,0.000
0.066,0.000,0.000
0.067,0.000,0.000
0.068,0.000,0.000
0.069,0.000,0.000
0.07,0.000,0.000
0.071,0.000,0.000
0.072,0.000,0.000
0.073,0.000,0.000
0.074,0.000,0.000
0.075,0.000,0.000
0.076,0.000,0.000
0.077,0.000,0.000
0.078,0.000,0.000
0.079,0.000,0.000
0.08,0.000,0.000
0.081,0.000,0.000
0.082,0.000,0.000
0.083,0.000,0.000
0.084,0.000,0.000
0.085,0.000,0.000
0.086,0.000,0.000
0.087,0.000,0.000
0.088,0.000,0.000
0.089,0.000,0.000
0.09,0.000,0.000
0.091,0.000,0.000
0.092,0.000,0.000
0.093,0.000,0.000
0.094,0.000,0.000
0.095,0.000,0.000
0.096,0.000,0.000
0.097,0.000,0.000
0.098,0.000,0.000
0.099,0.000,0.000
0.1,0.000,0.000
0.101,0.000,0.000
0.102,0.000,0.000
0.103,0.000,0.000
0.104,0.000,0.000
0.105,0.000,0.000
0.106,0.000,0.000
0.107,0.000,0.000
0.108,0.000,0.000
0.109,0.000,0.000
0.11,0.000,0.000
0.111,0.000,0.000
0.112,0.000,0.000
0.113,0.000,0.000
0.114,0.000,0.000
0.115,0.000,0.000
0.116,0.000,0.000
0.117,0.000,0.000
0.118,0.000,0.000
0.119,0.000,0.000
0.12,0.000,0.000
0.121,0.000,0.000
0.122,0.000,0.000
0.123,0.000,0.000
0.124,0.000,0.000
0.125,0.000,0.000
0.126,0.000,0.000
0.127,0.000,0.000
0.128,0.000,0.000
0.129,0.000,0.000
0.13,0.000,0.000
0.131,0.000,0.000
0.132,0.000,0.000
0.133,0.000,0.000
0.134,0.000,0.000
0.135,0.000,0.000
0.136,0.000,0.000
0.137,0.000,0.000
