TIEMPO,ADC,DAC
0.0,1.351,1.148
0.001,1.212,1.19
0.002,1.219,1.299
0.003,1.264,1.258
0.004,1.27,1.316
0.005,1.387,1.641
0.006,1.512,1.438
0.007,1.5,1.596
0.008,1.487,1.293
0.009,1.451,1.7
0.01,1.529,1.316
0.011,1.525,1.906
0.012,1.835,2.096
0.013,2.016,2.058
0.014,1.838,1.254
0.015,1.574,1.861
0.016,1.616,1.254
0.017,1.416,1.474
0.018,1.57,1.932
0.019,1.754,1.648
0.02,1.735,1.864
0.021,1.693,1.361
0.022,1.6,1.919
0.023,1.629,1.164
0.024,1.354,1.396
0.025,1.335,1.225
0.026,1.351,1.606
0.027,1.629,1.983
0.028,1.848,1.851
0.029,1.745,1.441
0.03,1.587,1.68
0.031,1.741,2.032
0.032,1.925,1.938
0.033,1.858,1.645
0.034,1.59,1.212
0.035,1.548,2.109
0.036,1.906,1.954
0.037,1.958,2.016
0.038,1.958,1.864
0.039,1.725,1.229
0.04,1.358,1.18
0.041,1.467,2.116
0.042,1.758,1.438
0.043,1.635,1.851
0.044,1.674,1.419
0.045,1.48,1.387
0.046,1.496,1.722
0.047,1.667,1.77
0.048,1.661,1.461
0.049,1.693,2.145
0.05,1.861,1.551
0.051,1.609,1.432
0.052,1.538,1.674
0.053,1.5,1.158
0.054,1.37,1.645
0.055,1.638,1.916
0.056,1.79,1.738
0.057,1.745,1.706
0.058,1.758,1.874
0.059,1.858,1.938
0.06,1.945,2.054
0.061,1.99,1.945
0.062,1.835,1.47
0.063,1.67,1.87
0.064,1.725,1.509
0.065,1.516,1.312
0.066,1.358,1.312
0.067,1.287,1.161
0.068,1.2,1.212
0.069,1.438,2.099
0.07,1.89,2.022
0.071,1.867,1.567
0.072,1.732,1.88
0.073,1.835,1.883
0.074,1.774,1.509
0.075,1.725,2.064
0.076,1.796,1.412
0.077,1.622,1.809
0.078,1.603,1.229
0.079,1.451,1.696
0.08,1.68,1.916
0.081,1.822,1.829
0.082,1.661,1.19
0.083,1.512,1.932
0.084,1.864,2.141
0.085,2.058,2.116
0.086,1.983,1.658
0.087,1.793,1.835
0.088,1.687,1.319
0.089,1.383,1.17
0.09,1.39,1.803
0.091,1.764,2.119
0.092,1.909,1.69
0.093,1.822,1.958
0.094,1.777,1.422
0.095,1.609,1.761
0.096,1.638,1.458
0.097,1.603,1.835
0.098,1.603,1.2
0.099,1.38,1.458
0.1,1.38,1.251
0.101,1.29,1.274
0.102,1.39,1.722
0.103,1.629,1.732
0.104,1.67,1.616
0.105,1.696,1.864
0.106,1.69,1.383
0.107,1.519,1.59
0.108,1.635,1.845
0.109,1.619,1.212
0.11,1.458,1.732
0.111,1.725,2.022
0.112,1.877,1.783
0.113,1.877,2.038
0.114,1.903,1.703
0.115,1.848,2.048
0.116,1.812,1.364
0.117,1.477,1.312
0.118,1.351,1.303
0.119,1.312,1.296
0.12,1.387,1.638
0.121,1.577,1.67
0.122,1.664,1.761
0.123,1.629,1.361
0.124,1.57,1.88
0.125,1.687,1.48
0.126,1.593,1.693
0.127,1.554,1.306
0.128,1.577,2.074
0.129,1.887,1.9
0.13,1.79,1.483
0.131,1.58,1.538
0.132,1.596,1.732
0.133,1.667,1.645
0.134,1.719,1.916
0.135,1.67,1.193
0.136,1.525,1.964
0.137,1.635,1.187
0.138,1.309,1.174
0.139,1.354,1.745
0.14,1.59,1.583
0.141,1.635,1.78
0.142,1.732,1.758
0.143,1.716,1.632
0.144,1.545,1.203
0.145,1.403,1.619
0.146,1.622,1.887
0.147,1.658,1.299
0.148,1.377,1.206
0.149,1.425,1.887
0.15,1.803,2.074
0.151,1.864,1.548
0.152,1.577,1.312
0.153,1.59,2.103
0.154,1.89,1.851
0.155,1.738,1.361
0.156,1.593,1.864
0.157,1.764,1.78
0.158,1.832,2.009
0.159,1.758,1.235
0.16,1.503,1.703
0.161,1.712,1.98
0.162,1.896,1.945
0.163,1.903,1.841
0.164,1.683,1.174
0.165,1.529,1.983
0.166,1.761,1.645
0.167,1.664,1.59
0.168,1.661,1.793
0.169,1.683,1.522
0.17,1.635,1.799
0.171,1.654,1.425
0.172,1.587,1.803
0.173,1.574,1.187
0.174,1.429,1.706
0.175,1.729,2.116
0.176,1.87,1.593
0.177,1.793,2.054
0.178,1.783,1.296
0.179,1.561,1.803
0.18,1.79,2.025
0.181,1.77,1.287
0.182,1.487,1.532
0.183,1.461,1.332
0.184,1.38,1.387
0.185,1.403,1.474
0.186,1.377,1.187
0.187,1.287,1.374
0.188,1.383,1.529
0.189,1.619,2.038
0.19,1.777,1.49
0.191,1.619,1.677
0.192,1.664,1.696
0.193,1.577,1.28
0.194,1.506,1.845
0.195,1.68,1.596
0.196,1.519,1.203
0.197,1.28,1.193
0.198,1.432,2.022
0.199,1.709,1.477
0.2,1.548,1.49
0.201,1.416,1.151
0.202,1.309,1.49
0.203,1.464,1.606
0.204,1.667,2.0
0.205,1.712,1.258
0.206,1.558,1.929
0.207,1.741,1.625
0.208,1.7,1.787
0.209,1.68,1.477
0.21,1.464,1.203
0.211,1.377,1.612
0.212,1.612,1.883
0.213,1.793,1.835
0.214,1.787,1.712
0.215,1.664,1.454
0.216,1.464,1.28
0.217,1.441,1.722
0.218,1.641,1.722
0.219,1.77,2.0
0.22,1.774,1.377
0.221,1.574,1.712
0.222,1.732,1.945
0.223,1.9,2.009
0.224,1.767,1.193
0.225,1.593,2.119
0.226,1.79,1.435
0.227,1.622,1.761
0.228,1.777,1.996
0.229,1.732,1.209
0.23,1.58,2.061
0.231,1.735,1.348
0.232,1.529,1.625
0.233,1.567,1.519
0.234,1.661,2.019
0.235,1.803,1.57
0.236,1.638,1.58
0.237,1.503,1.216
0.238,1.461,1.864
0.239,1.68,1.59
0.24,1.522,1.232
0.241,1.387,1.529
0.242,1.532,1.712
0.243,1.774,2.148
0.244,1.912,1.654
0.245,1.635,1.299
0.246,1.441,1.493
0.247,1.406,1.222
0.248,1.503,2.122
0.249,1.754,1.38
0.25,1.616,1.87
0.251,1.683,1.519
0.252,1.69,1.977
0.253,1.683,1.167
0.254,1.409,1.538
0.255,1.477,1.464
0.256,1.606,1.996
0.257,1.725,1.39
0.258,1.629,1.948
0.259,1.851,1.938
0.26,1.774,1.39
0.261,1.561,1.632
0.262,1.483,1.148
0.263,1.335,1.516
0.264,1.535,1.806
0.265,1.622,1.39
0.266,1.641,2.112
0.267,1.787,1.38
0.268,1.496,1.387
0.269,1.558,1.98
0.27,1.735,1.487
0.271,1.583,1.593
0.272,1.583,1.58
0.273,1.467,1.148
0.274,1.322,1.47
0.275,1.403,1.39
0.276,1.541,1.974
0.277,1.854,1.983
0.278,1.983,2.122
0.279,1.964,1.661
0.28,1.616,1.158
0.281,1.419,1.693
0.282,1.561,1.493
0.283,1.548,1.635
0.284,1.493,1.19
0.285,1.425,1.78
0.286,1.748,2.061
0.287,1.958,2.0
0.288,1.906,1.683
0.289,1.68,1.429
0.29,1.603,1.832
0.291,1.841,2.141
0.292,1.925,1.625
0.293,1.748,1.774
0.294,1.729,1.635
0.295,1.567,1.27
0.296,1.47,1.741
0.297,1.683,1.829
0.298,1.751,1.696
0.299,1.635,1.403
